02/03/18- 21:39:02  -- 2020 -- 600 -- 223 -- {'2019': 235.0, '2020': 699.0, '2018': 68.0}
02/03/18- 21:39:05  -- 2018 -- 154 -- 80 -- {'2019': 235.0, '2020': 695.0, '2018': 68.0}
02/03/18- 21:39:05  -- 2019 -- 60 -- 369 -- {'2019': 235.0, '2020': 695.0, '2018': 64.0}
02/03/18- 21:39:05  -- 2020 -- 600 -- 233 -- {'2019': 230.0, '2020': 695.0, '2018': 64.0}
02/03/18- 21:39:08  -- 2018 -- 163 -- 80 -- {'2019': 230.0, '2020': 690.0, '2018': 64.0}
02/03/18- 21:39:08  -- 2019 -- 60 -- 361 -- {'2019': 230.0, '2020': 690.0, '2018': 60.0}
02/03/18- 21:39:08  -- 2020 -- 600 -- 242 -- {'2019': 227.0, '2020': 690.0, '2018': 60.0}
02/03/18- 21:39:11  -- 2018 -- 173 -- 80 -- {'2019': 227.0, '2020': 686.0, '2018': 60.0}
02/03/18- 21:39:11  -- 2019 -- 60 -- 350 -- {'2019': 227.0, '2020': 686.0, '2018': 55.0}
02/03/18- 21:39:11  -- 2020 -- 600 -- 253 -- {'2019': 222.0, '2020': 686.0, '2018': 55.0}
02/03/18- 21:39:14  -- 2018 -- 184 -- 80 -- {'2019': 222.0, '2020': 682.0, '2018': 55.0}
02/03/18- 21:39:14  -- 2019 -- 60 -- 340 -- {'2019': 222.0, '2020': 682.0, '2018': 50.0}
02/03/18- 21:39:14  -- 2020 -- 600 -- 263 -- {'2019': 218.0, '2020': 682.0, '2018': 50.0}
02/03/18- 21:39:17  -- 2018 -- 194 -- 80 -- {'2019': 218.0, '2020': 677.0, '2018': 50.0}
02/03/18- 21:39:17  -- 2019 -- 60 -- 329 -- {'2019': 218.0, '2020': 677.0, '2018': 46.0}
02/03/18- 21:39:17  -- 2020 -- 600 -- 273 -- {'2019': 213.0, '2020': 677.0, '2018': 46.0}
02/03/18- 21:39:20  -- 2018 -- 205 -- 80 -- {'2019': 213.0, '2020': 673.0, '2018': 46.0}
02/03/18- 21:39:20  -- 2019 -- 60 -- 318 -- {'2019': 213.0, '2020': 673.0, '2018': 41.0}
02/03/18- 21:39:20  -- 2020 -- 600 -- 283 -- {'2019': 208.0, '2020': 673.0, '2018': 41.0}
02/03/18- 21:39:23  -- 2018 -- 217 -- 80 -- {'2019': 208.0, '2020': 669.0, '2018': 41.0}
02/03/18- 21:39:23  -- 2019 -- 60 -- 308 -- {'2019': 208.0, '2020': 669.0, '2018': 36.0}
02/03/18- 21:39:23  -- 2020 -- 600 -- 293 -- {'2019': 204.0, '2020': 669.0, '2018': 36.0}
02/03/18- 21:39:26  -- 2018 -- 227 -- 80 -- {'2019': 204.0, '2020': 664.0, '2018': 36.0}
02/03/18- 21:39:26  -- 2019 -- 60 -- 297 -- {'2019': 204.0, '2020': 664.0, '2018': 32.0}
02/03/18- 21:39:26  -- 2020 -- 600 -- 304 -- {'2019': 199.0, '2020': 664.0, '2018': 32.0}
02/03/18- 21:39:29  -- 2018 -- 238 -- 80 -- {'2019': 199.0, '2020': 659.0, '2018': 32.0}
02/03/18- 21:39:30  -- 2019 -- 60 -- 286 -- {'2019': 199.0, '2020': 659.0, '2018': 27.0}
02/03/18- 21:39:30  -- 2020 -- 600 -- 315 -- {'2019': 194.0, '2020': 659.0, '2018': 27.0}
02/03/18- 21:39:33  -- 2018 -- 248 -- 80 -- {'2019': 194.0, '2020': 655.0, '2018': 27.0}
02/03/18- 21:39:33  -- 2019 -- 60 -- 276 -- {'2019': 194.0, '2020': 655.0, '2018': 23.0}
02/03/18- 21:39:33  -- 2020 -- 600 -- 325 -- {'2019': 190.0, '2020': 655.0, '2018': 23.0}
02/03/18- 21:39:36  -- 2018 -- 259 -- 80 -- {'2019': 190.0, '2020': 650.0, '2018': 23.0}
02/03/18- 21:39:36  -- 2019 -- 60 -- 264 -- {'2019': 190.0, '2020': 650.0, '2018': 18.0}
02/03/18- 21:39:36  -- 2020 -- 600 -- 337 -- {'2019': 184.0, '2020': 650.0, '2018': 18.0}
02/03/18- 21:39:39  -- 2018 -- 269 -- 80 -- {'2019': 184.0, '2020': 645.0, '2018': 18.0}
02/03/18- 21:39:39  -- 2019 -- 60 -- 253 -- {'2019': 184.0, '2020': 645.0, '2018': 13.0}
02/03/18- 21:39:39  -- 2020 -- 600 -- 347 -- {'2019': 180.0, '2020': 645.0, '2018': 13.0}
02/03/18- 21:39:42  -- 2018 -- 280 -- 80 -- {'2019': 180.0, '2020': 641.0, '2018': 13.0}
02/03/18- 21:39:42  -- 2019 -- 60 -- 243 -- {'2019': 180.0, '2020': 641.0, '2018': 9.0}
02/03/18- 21:39:42  -- 2020 -- 600 -- 358 -- {'2019': 175.0, '2020': 641.0, '2018': 9.0}
02/03/18- 21:39:45  -- 2018 -- 290 -- 80 -- {'2019': 175.0, '2020': 636.0, '2018': 9.0}
02/03/18- 21:39:45  -- 2019 -- 60 -- 232 -- {'2019': 175.0, '2020': 636.0, '2018': 9.0}
02/03/18- 21:39:45  -- 2020 -- 600 -- 370 -- {'2019': 171.0, '2020': 636.0, '2018': 9.0}
02/03/18- 21:39:48  -- 2018 -- 300 -- 80 -- {'2019': 171.0, '2020': 631.0, '2018': 9.0}
02/03/18- 21:39:48  -- 2019 -- 60 -- 223 -- {'2019': 171.0, '2020': 631.0, '2018': 0.0}
02/03/18- 21:39:48  -- 2020 -- 600 -- 381 -- {'2019': 167.0, '2020': 631.0, '2018': 0.0}
02/03/18- 21:39:51  -- 2018 -- 300 -- 80 -- {'2019': 167.0, '2020': 626.0, '2018': 0.0}
02/03/18- 21:39:51  -- 2019 -- 60 -- 211 -- {'2019': 167.0, '2020': 626.0, '2018': 0.0}
02/03/18- 21:39:51  -- 2020 -- 600 -- 391 -- {'2019': 161.0, '2020': 626.0, '2018': 0.0}
02/03/18- 21:39:54  -- 2018 -- 300 -- 80 -- {'2019': 161.0, '2020': 622.0, '2018': 0.0}
02/03/18- 21:39:54  -- 2019 -- 60 -- 201 -- {'2019': 161.0, '2020': 622.0, '2018': 0.0}
02/03/18- 21:39:54  -- 2020 -- 599 -- 400 -- {'2019': 157.0, '2020': 622.0, '2018': 0.0}
02/03/18- 21:39:57  -- 2018 -- 300 -- 80 -- {'2019': 157.0, '2020': 622.0, '2018': 0.0}
02/03/18- 21:39:57  -- 2019 -- 60 -- 189 -- {'2019': 157.0, '2020': 622.0, '2018': 0.0}
02/03/18- 21:39:57  -- 2020 -- 589 -- 400 -- {'2019': 152.0, '2020': 622.0, '2018': 0.0}
02/03/18- 21:40:00  -- 2018 -- 307 -- 80 -- {'2019': 152.0, '2020': 622.0, '2018': 0.0}
02/03/18- 21:40:00  -- 2019 -- 60 -- 179 -- {'2019': 152.0, '2020': 622.0, '2018': 745.0}
02/03/18- 21:40:00  -- 2020 -- 579 -- 400 -- {'2019': 147.0, '2020': 622.0, '2018': 745.0}
02/03/18- 21:40:03  -- 2018 -- 319 -- 80 -- {'2019': 147.0, '2020': 622.0, '2018': 745.0}
02/03/18- 21:40:03  -- 2019 -- 60 -- 169 -- {'2019': 147.0, '2020': 622.0, '2018': 740.0}
02/03/18- 21:40:03  -- 2020 -- 569 -- 400 -- {'2019': 143.0, '2020': 622.0, '2018': 740.0}
02/03/18- 21:40:06  -- 2018 -- 330 -- 80 -- {'2019': 143.0, '2020': 622.0, '2018': 740.0}
02/03/18- 21:40:06  -- 2019 -- 60 -- 160 -- {'2019': 143.0, '2020': 622.0, '2018': 735.0}
02/03/18- 21:40:06  -- 2020 -- 558 -- 400 -- {'2019': 139.0, '2020': 622.0, '2018': 735.0}
02/03/18- 21:40:09  -- 2018 -- 342 -- 80 -- {'2019': 139.0, '2020': 622.0, '2018': 735.0}
02/03/18- 21:40:09  -- 2019 -- 60 -- 149 -- {'2019': 139.0, '2020': 622.0, '2018': 730.0}
02/03/18- 21:40:09  -- 2020 -- 548 -- 400 -- {'2019': 134.0, '2020': 622.0, '2018': 730.0}
02/03/18- 21:40:12  -- 2018 -- 351 -- 80 -- {'2019': 134.0, '2020': 622.0, '2018': 730.0}
02/03/18- 21:40:13  -- 2019 -- 60 -- 139 -- {'2019': 134.0, '2020': 622.0, '2018': 726.0}
02/03/18- 21:40:13  -- 2020 -- 536 -- 400 -- {'2019': 130.0, '2020': 622.0, '2018': 726.0}
02/03/18- 21:40:16  -- 2018 -- 361 -- 80 -- {'2019': 130.0, '2020': 622.0, '2018': 726.0}
02/03/18- 21:40:16  -- 2019 -- 60 -- 129 -- {'2019': 130.0, '2020': 622.0, '2018': 722.0}
02/03/18- 21:40:16  -- 2020 -- 527 -- 400 -- {'2019': 126.0, '2020': 622.0, '2018': 722.0}
02/03/18- 21:40:19  -- 2018 -- 372 -- 80 -- {'2019': 126.0, '2020': 622.0, '2018': 722.0}
02/03/18- 21:40:19  -- 2019 -- 60 -- 119 -- {'2019': 126.0, '2020': 622.0, '2018': 717.0}
02/03/18- 21:40:19  -- 2020 -- 517 -- 400 -- {'2019': 121.0, '2020': 622.0, '2018': 717.0}
02/03/18- 21:40:22  -- 2018 -- 381 -- 80 -- {'2019': 121.0, '2020': 622.0, '2018': 717.0}
02/03/18- 21:40:22  -- 2019 -- 60 -- 109 -- {'2019': 121.0, '2020': 622.0, '2018': 713.0}
02/03/18- 21:40:22  -- 2020 -- 509 -- 400 -- {'2019': 117.0, '2020': 622.0, '2018': 713.0}
02/03/18- 21:40:25  -- 2018 -- 391 -- 80 -- {'2019': 117.0, '2020': 622.0, '2018': 713.0}
02/03/18- 21:40:25  -- 2019 -- 60 -- 100 -- {'2019': 117.0, '2020': 622.0, '2018': 709.0}
02/03/18- 21:40:25  -- 2020 -- 500 -- 400 -- {'2019': 113.0, '2020': 622.0, '2018': 709.0}
02/03/18- 21:40:28  -- 2018 -- 401 -- 80 -- {'2019': 113.0, '2020': 622.0, '2018': 709.0}
02/03/18- 21:40:28  -- 2019 -- 60 -- 90 -- {'2019': 113.0, '2020': 622.0, '2018': 704.0}
02/03/18- 21:40:28  -- 2020 -- 500 -- 400 -- {'2019': 109.0, '2020': 622.0, '2018': 704.0}
02/03/18- 21:40:31  -- 2018 -- 410 -- 80 -- {'2019': 109.0, '2020': 622.0, '2018': 704.0}
02/03/18- 21:40:31  -- 2019 -- 60 -- 80 -- {'2019': 109.0, '2020': 622.0, '2018': 700.0}
02/03/18- 21:40:31  -- 2020 -- 500 -- 400 -- {'2019': 104.0, '2020': 622.0, '2018': 700.0}
02/03/18- 21:40:34  -- 2018 -- 420 -- 80 -- {'2019': 104.0, '2020': 622.0, '2018': 700.0}
02/03/18- 21:40:34  -- 2019 -- 69 -- 80 -- {'2019': 104.0, '2020': 622.0, '2018': 696.0}
02/03/18- 21:40:34  -- 2020 -- 500 -- 400 -- {'2019': 100.0, '2020': 622.0, '2018': 696.0}
02/03/18- 21:40:37  -- 2018 -- 430 -- 80 -- {'2019': 100.0, '2020': 622.0, '2018': 696.0}
02/03/18- 21:40:37  -- 2019 -- 79 -- 80 -- {'2019': 100.0, '2020': 622.0, '2018': 692.0}
02/03/18- 21:40:37  -- 2020 -- 491 -- 400 -- {'2019': 96.0, '2020': 622.0, '2018': 692.0}
02/03/18- 21:40:40  -- 2018 -- 440 -- 80 -- {'2019': 96.0, '2020': 622.0, '2018': 692.0}
02/03/18- 21:40:40  -- 2019 -- 91 -- 80 -- {'2019': 96.0, '2020': 622.0, '2018': 687.0}
02/03/18- 21:40:40  -- 2020 -- 481 -- 400 -- {'2019': 91.0, '2020': 622.0, '2018': 687.0}
02/03/18- 21:40:43  -- 2018 -- 449 -- 80 -- {'2019': 91.0, '2020': 622.0, '2018': 687.0}
02/03/18- 21:40:43  -- 2019 -- 101 -- 80 -- {'2019': 91.0, '2020': 622.0, '2018': 683.0}
02/03/18- 21:40:43  -- 2020 -- 469 -- 400 -- {'2019': 87.0, '2020': 622.0, '2018': 683.0}
02/03/18- 21:40:46  -- 2018 -- 459 -- 80 -- {'2019': 87.0, '2020': 422.0, '2018': 683.0}
02/03/18- 21:40:46  -- 2019 -- 111 -- 80 -- {'2019': 87.0, '2020': 422.0, '2018': 679.0}
02/03/18- 21:40:46  -- 2020 -- 459 -- 400 -- {'2019': 82.0, '2020': 422.0, '2018': 679.0}
02/03/18- 21:40:49  -- 2018 -- 469 -- 80 -- {'2019': 82.0, '2020': 417.0, '2018': 679.0}
02/03/18- 21:40:49  -- 2019 -- 122 -- 80 -- {'2019': 82.0, '2020': 417.0, '2018': 675.0}
02/03/18- 21:40:49  -- 2020 -- 450 -- 400 -- {'2019': 77.0, '2020': 417.0, '2018': 675.0}
02/03/18- 21:40:52  -- 2018 -- 480 -- 80 -- {'2019': 77.0, '2020': 413.0, '2018': 675.0}
02/03/18- 21:40:52  -- 2019 -- 133 -- 80 -- {'2019': 77.0, '2020': 413.0, '2018': 670.0}
02/03/18- 21:40:52  -- 2020 -- 437 -- 400 -- {'2019': 73.0, '2020': 413.0, '2018': 670.0}
02/03/18- 21:40:55  -- 2018 -- 489 -- 80 -- {'2019': 73.0, '2020': 408.0, '2018': 670.0}
02/03/18- 21:40:55  -- 2019 -- 144 -- 80 -- {'2019': 73.0, '2020': 408.0, '2018': 666.0}
02/03/18- 21:40:55  -- 2020 -- 428 -- 400 -- {'2019': 68.0, '2020': 408.0, '2018': 666.0}
02/03/18- 21:40:59  -- 2018 -- 502 -- 80 -- {'2019': 68.0, '2020': 404.0, '2018': 666.0}
02/03/18- 21:40:59  -- 2019 -- 153 -- 80 -- {'2019': 68.0, '2020': 404.0, '2018': 660.0}
02/03/18- 21:40:59  -- 2020 -- 418 -- 400 -- {'2019': 64.0, '2020': 404.0, '2018': 660.0}
02/03/18- 21:41:02  -- 2018 -- 514 -- 80 -- {'2019': 64.0, '2020': 399.0, '2018': 660.0}
02/03/18- 21:41:02  -- 2019 -- 165 -- 80 -- {'2019': 64.0, '2020': 399.0, '2018': 655.0}
02/03/18- 21:41:02  -- 2020 -- 409 -- 400 -- {'2019': 59.0, '2020': 399.0, '2018': 655.0}
02/03/18- 21:41:05  -- 2018 -- 523 -- 80 -- {'2019': 59.0, '2020': 395.0, '2018': 655.0}
02/03/18- 21:41:05  -- 2019 -- 176 -- 80 -- {'2019': 59.0, '2020': 395.0, '2018': 651.0}
02/03/18- 21:41:05  -- 2020 -- 398 -- 400 -- {'2019': 54.0, '2020': 395.0, '2018': 651.0}
02/03/18- 21:41:08  -- 2018 -- 533 -- 80 -- {'2019': 54.0, '2020': 391.0, '2018': 651.0}
02/03/18- 21:41:08  -- 2019 -- 186 -- 80 -- {'2019': 54.0, '2020': 391.0, '2018': 647.0}
02/03/18- 21:41:08  -- 2020 -- 387 -- 400 -- {'2019': 50.0, '2020': 391.0, '2018': 647.0}
02/03/18- 21:41:11  -- 2018 -- 543 -- 80 -- {'2019': 50.0, '2020': 386.0, '2018': 647.0}
02/03/18- 21:41:11  -- 2019 -- 197 -- 80 -- {'2019': 50.0, '2020': 386.0, '2018': 642.0}
02/03/18- 21:41:11  -- 2020 -- 377 -- 400 -- {'2019': 45.0, '2020': 386.0, '2018': 642.0}
02/03/18- 21:41:14  -- 2018 -- 553 -- 80 -- {'2019': 45.0, '2020': 381.0, '2018': 642.0}
02/03/18- 21:41:14  -- 2019 -- 207 -- 80 -- {'2019': 45.0, '2020': 381.0, '2018': 638.0}
02/03/18- 21:41:14  -- 2020 -- 365 -- 400 -- {'2019': 40.0, '2020': 381.0, '2018': 638.0}
02/03/18- 21:41:17  -- 2018 -- 564 -- 80 -- {'2019': 40.0, '2020': 376.0, '2018': 638.0}
02/03/18- 21:41:17  -- 2019 -- 218 -- 80 -- {'2019': 40.0, '2020': 376.0, '2018': 633.0}
02/03/18- 21:41:17  -- 2020 -- 355 -- 400 -- {'2019': 36.0, '2020': 376.0, '2018': 633.0}
02/03/18- 21:41:20  -- 2018 -- 574 -- 80 -- {'2019': 36.0, '2020': 372.0, '2018': 633.0}
02/03/18- 21:41:20  -- 2019 -- 230 -- 80 -- {'2019': 36.0, '2020': 372.0, '2018': 629.0}
02/03/18- 21:41:20  -- 2020 -- 345 -- 400 -- {'2019': 30.0, '2020': 372.0, '2018': 629.0}
02/03/18- 21:41:23  -- 2018 -- 584 -- 80 -- {'2019': 30.0, '2020': 368.0, '2018': 629.0}
02/03/18- 21:41:23  -- 2019 -- 240 -- 80 -- {'2019': 30.0, '2020': 368.0, '2018': 625.0}
02/03/18- 21:41:23  -- 2020 -- 336 -- 400 -- {'2019': 26.0, '2020': 368.0, '2018': 625.0}
02/03/18- 21:41:26  -- 2018 -- 594 -- 80 -- {'2019': 26.0, '2020': 364.0, '2018': 625.0}
02/03/18- 21:41:26  -- 2019 -- 249 -- 80 -- {'2019': 26.0, '2020': 364.0, '2018': 620.0}
02/03/18- 21:41:26  -- 2020 -- 324 -- 400 -- {'2019': 22.0, '2020': 364.0, '2018': 620.0}
02/03/18- 21:41:29  -- 2018 -- 600 -- 83 -- {'2019': 22.0, '2020': 358.0, '2018': 620.0}
02/03/18- 21:41:29  -- 2019 -- 260 -- 80 -- {'2019': 22.0, '2020': 358.0, '2018': 756.0}
02/03/18- 21:41:29  -- 2020 -- 313 -- 400 -- {'2019': 17.0, '2020': 358.0, '2018': 756.0}
02/03/18- 21:41:32  -- 2018 -- 600 -- 93 -- {'2019': 17.0, '2020': 354.0, '2018': 756.0}
02/03/18- 21:41:32  -- 2019 -- 269 -- 80 -- {'2019': 17.0, '2020': 354.0, '2018': 751.0}
02/03/18- 21:41:32  -- 2020 -- 304 -- 400 -- {'2019': 13.0, '2020': 354.0, '2018': 751.0}
02/03/18- 21:41:35  -- 2018 -- 600 -- 105 -- {'2019': 13.0, '2020': 350.0, '2018': 751.0}
02/03/18- 21:41:35  -- 2019 -- 280 -- 80 -- {'2019': 13.0, '2020': 350.0, '2018': 746.0}
02/03/18- 21:41:35  -- 2020 -- 294 -- 400 -- {'2019': 9.0, '2020': 350.0, '2018': 746.0}
02/03/18- 21:41:38  -- 2018 -- 600 -- 114 -- {'2019': 9.0, '2020': 345.0, '2018': 746.0}
02/03/18- 21:41:38  -- 2019 -- 290 -- 80 -- {'2019': 9.0, '2020': 345.0, '2018': 742.0}
02/03/18- 21:41:38  -- 2020 -- 284 -- 400 -- {'2019': 9.0, '2020': 345.0, '2018': 742.0}
02/03/18- 21:41:41  -- 2018 -- 600 -- 125 -- {'2019': 9.0, '2020': 341.0, '2018': 742.0}
02/03/18- 21:41:41  -- 2019 -- 300 -- 80 -- {'2019': 9.0, '2020': 341.0, '2018': 737.0}
02/03/18- 21:41:41  -- 2020 -- 273 -- 400 -- {'2019': 0.0, '2020': 341.0, '2018': 737.0}
02/03/18- 21:41:44  -- 2018 -- 600 -- 136 -- {'2019': 0.0, '2020': 336.0, '2018': 737.0}
02/03/18- 21:41:45  -- 2019 -- 300 -- 80 -- {'2019': 0.0, '2020': 336.0, '2018': 733.0}
02/03/18- 21:41:45  -- 2020 -- 263 -- 400 -- {'2019': 0.0, '2020': 336.0, '2018': 733.0}
02/03/18- 21:41:48  -- 2018 -- 600 -- 148 -- {'2019': 0.0, '2020': 332.0, '2018': 733.0}
02/03/18- 21:41:48  -- 2019 -- 300 -- 80 -- {'2019': 0.0, '2020': 332.0, '2018': 727.0}
02/03/18- 21:41:48  -- 2020 -- 254 -- 400 -- {'2019': 0.0, '2020': 332.0, '2018': 727.0}
02/03/18- 21:41:51  -- 2018 -- 600 -- 158 -- {'2019': 0.0, '2020': 328.0, '2018': 727.0}
02/03/18- 21:41:51  -- 2019 -- 300 -- 80 -- {'2019': 0.0, '2020': 328.0, '2018': 723.0}
02/03/18- 21:41:51  -- 2020 -- 242 -- 400 -- {'2019': 0.0, '2020': 328.0, '2018': 723.0}
02/03/18- 21:41:54  -- 2018 -- 600 -- 168 -- {'2019': 0.0, '2020': 323.0, '2018': 723.0}
02/03/18- 21:41:54  -- 2019 -- 308 -- 80 -- {'2019': 0.0, '2020': 323.0, '2018': 719.0}
02/03/18- 21:41:54  -- 2020 -- 232 -- 400 -- {'2019': 745.0, '2020': 323.0, '2018': 719.0}
02/03/18- 21:41:57  -- 2018 -- 600 -- 179 -- {'2019': 745.0, '2020': 318.0, '2018': 719.0}
02/03/18- 21:41:57  -- 2019 -- 319 -- 80 -- {'2019': 745.0, '2020': 318.0, '2018': 714.0}
02/03/18- 21:41:57  -- 2020 -- 222 -- 400 -- {'2019': 740.0, '2020': 318.0, '2018': 714.0}
02/03/18- 21:42:00  -- 2018 -- 600 -- 190 -- {'2019': 740.0, '2020': 314.0, '2018': 714.0}
02/03/18- 21:42:00  -- 2019 -- 329 -- 80 -- {'2019': 740.0, '2020': 314.0, '2018': 709.0}
02/03/18- 21:42:00  -- 2020 -- 212 -- 400 -- {'2019': 736.0, '2020': 314.0, '2018': 709.0}
02/03/18- 21:42:03  -- 2018 -- 600 -- 201 -- {'2019': 736.0, '2020': 310.0, '2018': 709.0}
02/03/18- 21:42:03  -- 2019 -- 339 -- 80 -- {'2019': 736.0, '2020': 310.0, '2018': 704.0}
02/03/18- 21:42:03  -- 2020 -- 204 -- 400 -- {'2019': 731.0, '2020': 310.0, '2018': 704.0}
