 id_bus, x_position, y_position, wainting_time
 2018 , 60 , 167 ,146.0
 2018 , 60 , 157 ,142.0
 2018 , 60 , 148 ,138.0
 2018 , 60 , 138 ,134.0
 2018 , 60 , 126 ,130.0
 2018 , 60 , 115 ,124.0
 2018 , 60 , 107 ,120.0
 2018 , 60 , 98 ,116.0
 2018 , 60 , 87 ,112.0
 2018 , 64 , 80 ,107.0
 2018 , 73 , 80 ,103.0
 2018 , 84 , 80 ,99.0
 2018 , 93 , 80 ,94.0
 2018 , 103 , 80 ,90.0
 2018 , 114 , 80 ,86.0
 2018 , 124 , 80 ,81.0
 2018 , 134 , 80 ,77.0
 2018 , 143 , 80 ,72.0
 2018 , 152 , 80 ,68.0
 2018 , 162 , 80 ,64.0
 2018 , 174 , 80 ,60.0
 2018 , 185 , 80 ,55.0
 2018 , 195 , 80 ,50.0
 2018 , 204 , 80 ,46.0
 2018 , 215 , 80 ,42.0
 2018 , 226 , 80 ,37.0
 2018 , 236 , 80 ,32.0
 2018 , 248 , 80 ,28.0
 2018 , 258 , 80 ,23.0
 2018 , 268 , 80 ,18.0
 2018 , 278 , 80 ,14.0
 2018 , 288 , 80 ,10.0
 2018 , 300 , 80 ,5.0
 2018 , 300 , 80 ,0.0
 2018 , 300 , 80 ,0.0
 2018 , 300 , 80 ,0.0
 2018 , 308 , 80 ,0.0
 2018 , 319 , 80 ,745.0
 2018 , 330 , 80 ,740.0
 2018 , 340 , 80 ,735.0
 2018 , 349 , 80 ,731.0
 2018 , 360 , 80 ,727.0
 2018 , 372 , 80 ,722.0
 2018 , 382 , 80 ,717.0
 2018 , 391 , 80 ,713.0
 2018 , 401 , 80 ,709.0
 2018 , 410 , 80 ,704.0
 2018 , 419 , 80 ,700.0
 2018 , 428 , 80 ,696.0
 2018 , 439 , 80 ,693.0
 2018 , 449 , 80 ,688.0
 2018 , 461 , 80 ,683.0
 2018 , 471 , 80 ,678.0
 2018 , 481 , 80 ,674.0
 2018 , 490 , 80 ,669.0
 2018 , 500 , 80 ,666.0
 2018 , 510 , 80 ,661.0
 2018 , 520 , 80 ,657.0
 2018 , 530 , 80 ,652.0
 2018 , 541 , 80 ,648.0
 2018 , 551 , 80 ,643.0
 2018 , 561 , 80 ,639.0
 2018 , 570 , 80 ,635.0
 2018 , 580 , 80 ,631.0
 2018 , 590 , 80 ,626.0
 2018 , 600 , 80 ,622.0
 2018 , 600 , 91 ,618.0
 2018 , 600 , 100 ,752.0
 2018 , 600 , 111 ,748.0
 2018 , 600 , 122 ,743.0
 2018 , 600 , 130 ,739.0
 2018 , 600 , 139 ,735.0
 2018 , 600 , 149 ,731.0
 2018 , 600 , 158 ,727.0
 2018 , 600 , 168 ,723.0
